Time (UTC),1915Hall.kW,1915Hall.kWh,1927Hall.kW,1927Hall.kWh,1937Feinberg.kW,1937Feinberg.kWh,1938Hall.kW,1938Hall.kWh,1939Hall.kW,1939Hall.kWh,Blair.kW,Blair.kWh,Bloomberg.kW,Bloomberg.kWh,Butler.kW,Butler.kWh,Butler.wv.kW,Butler.wv.kWh,Buyers.kW,Buyers.kWh,CampbellR.kW,CampbellR.kWh,DodgeOsborn.kW,DodgeOsborn.kWh,Edwards.kW,Edwards.kWh,Forbes.kW,Forbes.kWh,Gauss.kW,Gauss.kWh,Hamilton.kW,Hamilton.kWh,Holder.kW,Holder.kWh,JolineCampbell.kW,JolineCampbell.kWh,JolineCampbellM.kW,JolineCampbellM.kWh,Little.kW,Little.kWh,Mathey.wv.kW,Mathey.wv.kWh,Rocky.wv.kW,Rocky.wv.kWh,Whitman.kW,Whitman.kWh,Wilcox.kW,Wilcox.kWh,Wilson.wv.kW,Wilson.wv.kWh,Witherspoon.kW,Witherspoon.kWh
2018-09-01T04:00:00Z,9,311227,11.4,423895,11.725,8484.805,4.7,269702,5.3,557107,24.018,19302.438,63.3,9969484,59.3,8443425,131.6,18724136,3.1,152372,7.80297029703,353615.227723,7.1,333423,11.9,1391963,112.8,5211852,3.5,209836,13.1,526459,50.7,3185952,21.3,965274,13.497029703,611658.772277,50.4,4614071,112.915029703,7163454.21028,82.602970297,6335247.22772,129.4,24140210,84,2505374,127.725,4307821.805,21,2643308
2018-09-01T05:00:00Z,10,311229,10.1,423897,11.01,8485.904,4.6,269702,5.3,557107,24.018,19306.68,63.3,9969484,59.3,8443431,132.6,18724144,2.8,152372,7.80297029703,353615.227723,7.1,333424,11.9,1391963,112.8,5211864,3.5,209837,13.1,526459,50.7,3185952,21.3,965274,13.497029703,611658.772277,50.4,4614071,112.915029703,7163458.45228,92.402970297,6335252.22772,131.2,24140222,84,2505380,125.61,4307832.904,31.1,2643313
2018-09-01T06:00:00Z,9,311237,9.9,423905,11.778,8497.411,4.3,269707,5.4,557112,28.76,19334.492,52.3,9969539,54.333,8443491,115.633,18724267,3.4,152375,8.05940594059,353622.920792,7.1,333430,11.8,1391975,112.8,5211977,3.6,209841,12.7,526472,54.9,3186009,22,965295,13.9405940594,611672.079208,47,4614121,114.200594059,7163574.57121,87.5594059406,6335345.92079,134.3,24140354,80.2,2505460,122.278,4307952.411,21.2,2643339
2018-09-01T07:00:00Z,9,311246,8.9,423916,10.385,8508.604,4.3,269712,5.4,557118,23.3,19360.633,49.5,9969589,49.917,8443541,108.417,18724376,2.9,152378,7.69306930693,353632.079208,6.9,333437,11.9,1391987,100.4,5212083,3.5,209844,12.6,526484,48.6,3186062,21,965320,13.3069306931,611687.920792,47.1,4614166,108.206930693,7163685.55379,80.3930693069,6335432.07921,128.6,24140484,77.2,2505541,116.585,4308076.604,21.2,2643360
2018-09-01T08:00:00Z,9,311255,8.6,423924,11.367,8519.618,4.4,269716,5.2,557124,24.92,19385.195,49.8,9969639,48.117,8443591,106.917,18724485,2.9,152381,7.65643564356,353640.871287,6.9,333444,11.6,1391999,98,5212189,3.4,209848,14.5,526499,51.7,3186113,20.9,965344,13.2435643564,611703.128713,46.7,4614216,110.963564356,7163802.32371,82.2564356436,6335515.87129,122.9,24140612,80.6,2505623,120.467,4308198.618,20,2643381
2018-09-01T09:00:00Z,9,311265,9.8,423934,10.343,8530.597,4.2,269720,5.1,557129,25.287,19411.682,53.5,9969694,48.733,8443638,111.233,18724597,2.9,152384,7.5099009901,353648.19802,6.7,333451,11.4,1392010,100.9,5212296,3.5,209851,12.5,526510,50.9,3186162,20.5,965364,12.9900990099,611715.80198,46.4,4614261,108.57709901,7163908.48398,82.0099009901,6335595.19802,129.2,24140742,73.9,2505697,113.543,4308312.597,20.7,2643401
2018-09-01T10:00:00Z,9,311274,11.1,423943,11.72,8541.618,4.1,269724,5.3,557135,23.18,19435.145,51.2,9969744,47.483,8443686,107.683,18724704,3,152387,7.80297029703,353655.524752,6.6,333457,11.3,1392022,107.6,5212405,3.6,209855,12.4,526524,49.3,3186212,21.3,965384,13.497029703,611728.475248,46,4614306,106.377029703,7164015.62025,79.002970297,6335675.52475,164.8,24140870,109.9,2505786,152.32,4308441.618,18.9,2643421
2018-09-01T11:00:00Z,9,311284,8.8,423953,11.535,8552.465,5,269728,5.4,557141,25.072,19461.584,46.7,9969789,74.167,8443757,129.867,18724830,2.9,152390,8.05940594059,353663.217822,4.5,333463,10.3,1392034,117.8,5212516,3.5,209858,13.2,526535,51.8,3186262,22,965405,13.9405940594,611741.782178,52,4614356,114.512594059,7164128.36618,82.4594059406,6335758.21782,185,24141048,155.4,2505939,194.135,4308634.465,19.7,2643443
2018-09-01T12:00:00Z,8,311292,7.8,423960,10.21,8563.365,4.4,269733,5.7,557146,26.957,19488.084,46.4,9969839,80,8443835,134.4,18724966,2.9,152393,7.98613861386,353672.009901,4.6,333467,12.1,1392045,149.8,5212662,3.6,209862,14.6,526550,50.8,3186312,21.8,965429,13.8138613861,611756.990099,49.9,4614407,117.370861386,7164247.0741,82.4861386139,6335842.0099,197.2,24141238,155.9,2506101,192.21,4308832.365,20.8,2643465
2018-09-01T13:00:00Z,9,311300,13.1,423972,13.022,8574.914,4.3,269737,7.4,557153,27.34,19515.326,50.6,9969894,75.783,8443915,135.383,18725109,3.7,152397,9.96435643564,353681.168317,4.5,333472,13.8,1392057,154.2,5212809,3.7,209865,14.6,526566,52,3186367,27.2,965454,17.2356435644,611772.831683,50,4614456,122.975643564,7164367.15768,86.9643564356,6335936.16832,187.2,24141416,194.4,2506269,240.422,4309042.914,21.3,2643491
2018-09-01T14:00:00Z,9,311309,10.4,423984,13.138,8586.488,4.8,269742,8.5,557161,32.98,19544.734,51.8,9969949,91.85,8443999,152.65,18725257,4.1,152400,8.60891089109,353690.326733,5.1,333476,14.9,1392072,181.9,5212976,3.6,209869,16,526580,56.2,3186423,23.5,965479,14.8910891089,611788.673267,49.4,4614506,128.171089109,7164491.40727,90.9089108911,6336028.32673,174.4,24141598,164.9,2506432,210.438,4309250.488,22,2643515
2018-09-01T15:00:00Z,9,311319,13.3,423994,15.29,8601.388,8.5,269747,11.1,557171,32.033,19578.012,78.1,9970009,88.467,8444099,175.567,18725427,4.3,152405,9.81782178218,353699.485149,5.2,333482,15.5,1392084,167.4,5213156,4,209873,17.7,526599,66,3186487,26.8,965504,16.9821782178,611804.514851,45.9,4614556,128.115178218,7164621.52685,106.017821782,6336135.48515,179.8,24141794,176.9,2506611,234.29,4309479.388,25.9,2643544
2018-09-01T16:00:00Z,9,311327,9.9,424004,14.007,8613.142,5.7,269753,13.5,557181,41.115,19614.023,57.2,9970070,81.933,8444175,148.133,18725572,4.6,152410,12.4554455446,353710.475248,5.2,333487,10.7,1392097,192.6,5213331,4.1,209877,16.2,526614,62.1,3186549,34,965534,21.5445544554,611823.524752,51.1,4614601,140.659554455,7164749.54775,102.555445545,6336237.47525,187.7,24141986,186.5,2506777,238.907,4309692.142,23.4,2643568
2018-09-01T17:00:00Z,9,311336,14.1,424017,13.323,8626.796,5.3,269759,24,557202,36.105,19649.932,51.9,9970130,80.65,8444260,141.55,18725726,4.5,152415,10.000990099,353720.366337,5.3,333492,11,1392107,197.1,5213535,4.3,209881,19.5,526634,62.3,3186606,27.3,965561,17.299009901,611840.633663,45.6,4614651,129.504009901,7164882.56566,101.900990099,6336336.36634,212.3,24142192,190.4,2506976,256.723,4309953.796,25.1,2643595
2018-09-01T18:00:00Z,9,311345,22.6,424028,14.107,8640.579,5.8,269764,9.4,557218,35.512,19680.391,86,9970186,87.183,8444348,182.183,18725879,4.3,152418,11.0267326733,353730.623762,5.5,333498,11.2,1392119,191,5213731,4.7,209886,15.8,526654,63.6,3186675,30.1,965589,19.0732673267,611858.376238,50.6,4614696,132.185267327,7165007.76724,129.726732673,6336446.62376,228.1,24142392,177.7,2507163,239.807,4310197.579,50.8,2643623
2018-09-01T19:00:00Z,11,311356,10.5,424038,14.258,8655.359,5.7,269770,14.4,557231,35.257,19716.695,50.9,9970250,81.033,8444431,142.933,18726037,4.3,152423,10.5871287129,353741.613861,5.8,333504,11.4,1392132,190,5213921,3.9,209890,16.1,526669,58.3,3186738,28.9,965619,18.3128712871,611877.386139,51,4614752,132.069871287,7165147.08114,96.6871287129,6336555.61386,168.3,24142584,166.6,2507331,221.158,4310419.359,23.5,2643653
2018-09-01T20:00:00Z,11,311369,10.4,424051,16.05,8669.896,5.4,269775,8.3,557242,32.933,19747.402,49.7,9970300,83.033,8444507,143.733,18726176,6,152428,10.9534653465,353752.60396,6.2,333509,12.7,1392142,174.7,5214102,4.2,209894,34.8,526686,61.2,3186800,29.9,965649,18.9465346535,611896.39604,47.6,4614802,146.979534653,7165273.79804,103.253465347,6336658.60396,180.7,24142766,166,2507502,216.55,4310642.896,25.1,2643678
2018-09-01T21:00:00Z,12,311384,10.5,424060,10.805,8685.574,4.8,269781,8.4,557253,36.45,19784.672,52.6,9970355,86.617,8444593,151.217,18726332,9.2,152435,12.2356435644,353767.257426,6.2,333515,11.3,1392154,159.1,5214282,4.2,209898,16.4,526704,58.9,3186863,33.4,965689,21.1643564356,611921.742574,52.7,4614852,138.014356436,7165416.41457,108.035643564,6336775.25743,171.6,24142956,167,2507673,211.905,4310865.574,27.7,2643710
2018-09-01T22:00:00Z,11,311394,11.9,424073,15.39,8699.58,6,269786,8.5,557261,30.177,19815.742,49.2,9970410,77.05,8444674,137.25,18726478,4.5,152442,10.2574257426,353778.613861,7.2,333521,10.5,1392167,168.2,5214445,4.1,209902,15.6,526719,59.9,3186922,28,965720,17.7425742574,611941.386139,49.7,4614902,123.719574257,7165545.12814,94.5574257426,6336880.61386,174.5,24143130,151.8,2507835,204.89,4311077.58,19.9,2643738
2018-09-01T23:00:00Z,11,311405,14.7,424086,15.69,8713.72,5.5,269792,13.4,557276,31.688,19847.148,51.5,9970460,69.15,8444743,131.65,18726608,3.8,152447,10.9900990099,353789.237624,5.7,333527,10.7,1392177,162.9,5214601,3.9,209906,18.7,526736,53.7,3186978,30,965749,19.0099009901,611959.762376,55.1,4614957,135.19790099,7165676.91038,90.6900990099,6336977.23762,163,24143318,165.7,2507998,224.59,4311298.72,22.2,2643763
2018-09-02T00:00:00Z,13,311419,11.5,424098,13.57,8728.19,6.1,269798,9.6,557284,29.762,19878.939,53.7,9970515,59.283,8444798,125.983,18726732,4.3,152450,10.4772277228,353800.227723,8.7,333534,13,1392188,163.6,5214760,4.2,209910,15,526754,57.6,3187033,28.6,965779,18.1227722772,611978.772277,49.4,4615007,125.284772277,7165806.71128,96.7772277228,6337067.22772,181.1,24143496,150.7,2508153,204.37,4311505.19,24.4,2643784
2018-09-02T01:00:00Z,10,311429,11.9,424108,14.84,8742.699,6.5,269804,7.7,557292,34.647,19910.432,55.3,9970570,70.567,8444868,135.867,18726867,4.2,152455,11.1732673267,353811.217822,7.9,333542,12.4,1392202,151.6,5214917,4,209914,14.6,526769,57.6,3187094,30.5,965809,19.3267326733,611997.782178,52.1,4615057,133.073732673,7165936.21418,95.3732673267,6337173.21782,157.8,24143672,107.7,2508273,160.54,4311675.699,22.4,2643813
2018-09-02T02:00:00Z,11,311440,15.7,424123,15.08,8757.446,5,269810,11.8,557301,30.603,19942.164,76.9,9970627,75.45,8444940,163.35,18727007,4.3,152460,11.2465346535,353822.207921,8,333550,12.4,1392217,152.6,5215059,4.7,209919,14.2,526783,60.4,3187156,30.7,965839,19.4534653465,612016.792079,55.2,4615112,131.856465347,7166070.95608,104.346534653,6337277.20792,191.7,24143844,97.4,2508368,157.68,4311828.446,28.4,2643839
2018-09-02T03:00:00Z,11,311450,11.3,424134,13.325,8771.464,5.2,269815,7.3,557311,27.233,19973.318,58.1,9970687,65.85,8445006,134.95,18727143,3.8,152465,11.796039604,353835.029703,8.2,333559,11.7,1392229,131.9,5215195,4.8,209923,15.6,526799,56.6,3187216,32.2,965874,20.403960396,612038.970297,54,4615172,128.936960396,7166212.2883,105.396039604,6337390.0297,182.1,24144006,93.8,2508458,143.925,4311971.464,33.2,2643874
2018-09-02T04:00:00Z,11,311461,11.2,424147,13.645,1.689,5.7,269820,7.5,557318,37.048,3.419,61.7,9970750,75.717,8445073,148.417,18727284,3.9,152469,10.9534653465,353846.019802,8.9,333566,11.7,1392242,136.6,5215332,4.3,209927,15.2,526814,66.3,3187274,29.9,965904,18.9465346535,612057.980198,56.5,4615230,139.394534653,7146357.56751,107.153465347,6337492.0198,131,24144156,91,2508548,142.245,4303344.689,26,2643903
2018-09-02T05:00:00Z,11,311474,11,424158,14.33,14.159,4.9,269825,7.6,557326,38.05,37.121,54.4,9970806,59.45,8445138,124.85,18727418,4,152473,12.199009901,353858.841584,8.3,333575,10.8,1392253,134.5,5215474,4.3,209932,13.9,526829,58.2,3187335,33.3,965939,21.100990099,612080.158416,50.6,4615280,134.450990099,7146479.27942,98.299009901,6337596.84158,130.9,24144296,81.4,2508637,131.83,4303467.159,23.9,2643930
2018-09-02T06:00:00Z,15,311489,14.5,424168,11.973,27.249,4.7,269830,7.1,557333,25.483,63.953,51.1,9970856,52.9,8445193,119,18727538,4.9,152477,9.74455445545,353869.831683,8.4,333584,11.2,1392264,118.6,5215600,4.2,209936,13.2,526842,52.4,3187390,26.6,965969,16.8554455446,612099.168317,49.1,4615330,115.838445545,7146599.12132,92.3445544554,6337690.83168,137.2,24144426,87.1,2508724,137.973,4303602.249,25.3,2643954
2018-09-02T07:00:00Z,10,311500,9.8,424181,13.837,40.72,4.6,269835,7,557341,26.597,89.854,49.9,9970908,51.35,8445243,111.25,18727651,4.9,152481,9.23168316832,353879.356436,7.7,333591,11,1392275,121.5,5215711,4.1,209940,13.3,526855,51,3187445,25.2,965995,15.9683168317,612115.643564,48.2,4615380,115.065316832,7146715.49756,86.0316831683,6337783.35644,124.9,24144558,83.3,2508810,130.337,4303738.72,20.9,2643978
2018-09-02T08:00:00Z,10,311510,8.9,424189,10.758,51.95,4.7,269840,7,557347,29.073,116.852,50.5,9970958,49.25,8445298,109.75,18727766,3.2,152484,9.96435643564,353888.514851,7.5,333599,11,1392287,116.5,5215829,4.4,209944,13.2,526869,51.1,3187495,27.2,966020,17.2356435644,612131.485149,47.5,4615425,118.008643564,7146829.33715,86.4643564356,6337866.51485,119.1,24144686,86.5,2508895,129.758,4303865.95,22.2,2643999
2018-09-02T09:00:00Z,11,311520,8.8,424200,10.735,64.097,4.7,269845,6.8,557354,28.18,142.4,50.2,9971009,48.683,8445347,109.883,18727876,3.2,152488,9.41485148515,353897.306931,7.5,333606,10.8,1392297,103.7,5215941,4,209949,12.4,526881,50,3187545,25.7,966044,16.2851485149,612146.693069,46.6,4615475,114.265148515,7146942.09307,84.2148514851,6337950.30693,132.5,24144812,81.2,2508977,123.735,4303995.097,21.6,2644020
2018-09-02T10:00:00Z,10,311530,8.7,424209,10.935,76.574,4.6,269850,6.6,557361,23.767,168.851,52.3,9971061,50.9,8445397,113.2,18727988,3.3,152491,9.52475247525,353906.831683,7.4,333614,10.8,1392308,115,5216055,4.1,209953,13.8,526894,48.9,3187595,26,966070,16.4752475248,612163.168317,46.7,4615520,111.542247525,7147054.01932,83.2247524752,6338035.83168,148.6,24144934,114,2509066,156.335,4304129.574,21.5,2644043
2018-09-02T11:00:00Z,9,311540,9.1,424218,13.17,88.369,5.6,269854,7,557368,23.68,194.399,50.1,9971108,73.433,8445469,132.533,18728117,3.3,152494,10.1108910891,353916.356436,5.7,333620,9.6,1392319,121.7,5216176,4.3,209957,13.4,526907,50.9,3187645,27.6,966096,17.4891089109,612179.643564,46,4615565,110.169108911,7147165.04256,85.5108910891,6338118.35644,168.8,24145112,143.7,2509221,188.57,4304326.369,21.2,2644063
2018-09-02T12:00:00Z,9,311549,8.2,424228,12.68,100.814,6.7,269860,7,557376,25.84,220.442,59,9971161,76.2,8445548,144.2,18728258,3.6,152498,9.52475247525,353925.881188,5.3,333626,13.7,1392332,150.7,5216317,4.3,209961,14,526921,49.9,3187695,26,966122,16.4752475248,612196.118812,46,4615610,116.015247525,7147279.56081,87.7247524752,6338206.88119,198,24145276,164.8,2509384,208.98,4304535.814,24.7,2644088
2018-09-02T13:00:00Z,18,311559,8.4,424235,12.338,113.509,5.7,269867,7.8,557383,33.017,252.174,48.7,9971218,70.817,8445615,137.517,18728392,3.8,152502,9.30495049505,353935.772277,5.9,333632,11.9,1392342,152,5216460,4.3,209965,13.8,526935,56.3,3187757,25.4,966149,16.095049505,612213.227723,49.9,4615660,124.712049505,7147402.40172,96.404950495,6338308.77228,186,24145460,174.1,2509555,218.538,4304750.509,27,2644114
2018-09-02T14:00:00Z,9,311576,9.5,424246,12.78,126.358,4.7,269873,8.4,557391,29.547,280.192,54.1,9971270,90.717,8445701,153.817,18728547,3.1,152505,9.85445544554,353944.930693,5.1,333638,10.5,1392352,150.4,5216618,4.2,209969,13.2,526950,57.8,3187809,26.9,966174,17.0455445545,612229.069307,54.5,4615715,124.792544554,7147526.26131,93.5544554455,6338396.93069,172.5,24145654,172,2509724,216.68,4304967.358,22.8,2644138
2018-09-02T15:00:00Z,9,311585,10.7,424255,13.655,139.606,5.6,269878,8.9,557401,34.198,315.004,48.1,9971319,74.733,8445785,131.833,18728689,4,152508,9.70792079208,353955.920792,5.2,333644,16.1,1392364,167.1,5216770,4.1,209973,14.2,526964,58.7,3187869,26.5,966204,16.7920792079,612248.079208,57.6,4615771,138.890079208,7147662.08321,99.1079207921,6338495.92079,170.1,24145828,165.7,2509891,213.855,4305181.606,26.7,2644163
2018-09-02T16:00:00Z,9,311596,11.2,424269,10.305,151.275,6.2,269884,17.7,557411,33.898,346.377,50,9971370,85.367,8445865,144.367,18728831,2.7,152512,9.85445544554,353965.445545,5.4,333649,10.7,1392377,174.2,5216940,3.9,209977,13.7,526979,55.5,3187925,26.9,966230,17.0455445545,612264.554455,49.2,4615821,124.543544554,7147787.93146,99.8544554455,6338595.44554,173.8,24146006,175.7,2510061,230.405,4305402.275,31.8,2644193
2018-09-02T17:00:00Z,9,311605,16.5,424284,11.303,161.757,7.2,269890,9.8,557426,35.23,380.681,50.1,9971422,86.667,8445952,145.767,18728979,3.5,152515,9.78118811881,353975.336634,5.7,333654,15,1392389,162.7,5217115,4.3,209981,15.2,526992,66.1,3187993,26.7,966257,16.9188118812,612281.663366,50,4615876,132.348811881,7147919.34437,101.781188119,6338703.33663,212.4,24146200,174.9,2510240,229.703,4305636.757,22.4,2644220
2018-09-02T18:00:00Z,8,311616,10.4,424294,11.222,173.338,6.3,269897,8.9,557436,29.608,414.735,54.4,9971477,78.483,8446037,140.883,18729130,8.3,152521,10.9900990099,353985.594059,5.5,333659,10.6,1392402,162.3,5217289,3.9,209985,13.9,527007,63,3188049,30,966285,19.0099009901,612299.405941,58.6,4615931,131.71790099,7148054.14094,116.19009901,6338808.59406,186,24146390,162.9,2510413,209.122,4305857.338,33.9,2644253
2018-09-02T19:00:00Z,8,311625,10.7,424307,11.042,184.765,7,269904,12.9,557446,31.133,443.724,59.2,9971532,67.433,8446105,134.633,18729262,4.2,152527,9.12178217822,353996.217822,5.2,333665,11.7,1392413,166.6,5217454,3.8,209989,13.9,527021,53.5,3188106,24.9,966314,15.7782178218,612317.782178,51.7,4615987,124.211217822,7148182.50618,87.8217821782,6338907.21782,181.9,24146574,164.2,2510578,214.842,4306073.765,21,2644278
2018-09-02T20:00:00Z,10,311635,11,424322,12.727,196.121,6.2,269910,23.5,557461,33.973,477.725,53.7,9971584,83.95,8446191,147.65,18729410,4,152531,9.78118811881,354005.742574,5.3,333670,11,1392424,180.9,5217633,4.1,209993,13.7,527035,58.1,3188162,26.7,966340,16.9188118812,612334.257426,50.4,4616037,125.991811881,7148307.98243,94.3811881188,6339001.74257,190.6,24146762,182.2,2510754,245.027,4306306.121,22.5,2644303
2018-09-02T21:00:00Z,10,311645,11.6,424334,13.873,209.159,6.4,269917,10.5,557476,34.583,509.768,52.8,9971637,70.683,8446264,133.483,18729546,12.4,152538,10.3673267327,354016.366337,6,333676,11.9,1392438,169.3,5217806,4.5,209997,15.2,527051,60.9,3188221,28.3,966369,17.9326732673,612352.633663,49.8,4616087,129.415673267,7148438.40166,106.467326733,6339103.36634,248.4,24146950,201.3,2510938,254.173,4306547.159,22.8,2644328
2018-09-02T22:00:00Z,9,311654,11.4,424349,5.488,221.108,5.6,269922,9.1,557486,31.793,541.012,51.8,9971687,78.633,8446336,139.433,18729677,3.8,152547,12.3821782178,354027.722772,5.8,333681,12,1392453,171.1,5217980,4.7,210001,15.1,527067,60.6,3188283,33.8,966400,21.4178217822,612372.277228,50.4,4616137,130.710821782,7148570.28923,98.2821782178,6339210.72277,212,24147146,175.8,2511117,217.888,4306777.108,21.5,2644353
2018-09-02T23:00:00Z,9,311664,10.7,424360,9.883,232.49,6.3,269928,8.5,557496,28.468,573.756,76.3,9971742,73.25,8446415,158.55,18729821,4,152553,10.3673267327,354040.178218,5.5,333687,11.2,1392467,158.4,5218138,4.7,210006,18.2,527084,63.6,3188344,28.3,966434,17.9326732673,612393.821782,52,4616187,127.800673267,7148705.57778,100.167326733,6339315.17822,195.6,24147328,154.1,2511282,199.683,4306991.49,22.2,2644378
2018-09-03T00:00:00Z,10,311674,11.6,424372,9.118,245.168,6.2,269935,10.7,557506,29.663,605.2,76.6,9971797,67.383,8446478,153.983,18729949,4.4,152557,10.9168316832,354051.168317,8,333694,11.5,1392478,160.7,5218300,4,210010,14.7,527099,58.6,3188405,29.8,966464,18.8831683168,612412.831683,53,4616242,127.746168317,7148837.03168,98.9168316832,6339417.16832,173.4,24147516,150.9,2511440,200.518,4307202.168,25,2644404
2018-09-03T01:00:00Z,10,311684,11.5,424383,12.803,257.71,7,269941,8.5,557514,32.407,636.084,60.3,9971853,62.6,8446545,132.9,18730082,8.8,152562,10.4405940594,354061.059406,7.8,333701,11.7,1392490,153.5,5218455,4.7,210014,14.9,527114,57.4,3188466,28.5,966491,18.0594059406,612429.940594,54,4616297,131.066405941,7148967.02459,99.3405940594,6339518.05941,147.1,24147674,104.3,2511549,156.603,4307359.71,22.7,2644429
2018-09-03T02:00:00Z,23,311699,15.2,424398,14.087,270.094,6.1,269947,8.1,557523,33.587,668.775,63.1,9971914,74.933,8446619,161.033,18730232,4.8,152570,12.1623762376,354072.049505,8.4,333710,12.5,1392502,149.8,5218600,4.9,210019,15.4,527129,67.1,3188528,33.2,966521,21.0376237624,612448.950495,54.8,4616352,137.324623762,7149100.7255,121.862376238,6339633.0495,182.4,24147846,91.1,2511647,147.887,4307514.094,37.8,2644463
2018-09-03T03:00:00Z,11,311715,11.2,424410,12.955,283.131,6.9,269954,8.9,557532,42.71,709.99,57.8,9971977,81.533,8446694,150.333,18730386,4.2,152575,11.6128712871,354084.50495,8.2,333719,12.8,1392515,159.9,5218756,4.6,210024,14.7,527144,64.8,3188595,31.7,966555,20.0871287129,612470.49505,53.5,4616402,143.797128713,7149241.48505,125.612871287,6339752.50495,162.3,24148028,92.9,2511734,145.655,4307656.131,45,2644498
2018-09-03T04:00:00Z,15,311729,11,424423,12.033,295.512,6.8,269961,12.2,557542,32.753,744.161,52.2,9972037,64.217,8446766,131.417,18730532,4.1,152579,10.0376237624,354095.128713,8,333726,14,1392530,149.9,5218906,4.4,210028,13.4,527158,57.5,3188653,27.4,966584,17.3623762376,612488.871287,54.6,4616457,132.115376238,7149378.03229,95.2376237624,6339851.12871,136.6,24148168,100.4,2511828,154.833,4307803.512,23.6,2644524
