Time (UTC),1915Hall.kW,1915Hall.kWh,1927Hall.kW,1927Hall.kWh,1937Feinberg.kW,1937Feinberg.kWh,1938Hall.kW,1938Hall.kWh,1939Hall.kW,1939Hall.kWh,Blair.kW,Blair.kWh,Bloomberg.kW,Bloomberg.kWh,Butler.kW,Butler.kWh,Butler.wv.kW,Butler.wv.kWh,Buyers.kW,Buyers.kWh,CampbellR.kW,CampbellR.kWh,DodgeOsborn.kW,DodgeOsborn.kWh,Edwards.kW,Edwards.kWh,Forbes.kW,Forbes.kWh,Gauss.kW,Gauss.kWh,Hamilton.kW,Hamilton.kWh,Holder.kW,Holder.kWh,JolineCampbell.kW,JolineCampbell.kWh,JolineCampbellM.kW,JolineCampbellM.kWh,Little.kW,Little.kWh,Mathey.wv.kW,Mathey.wv.kWh,Rocky.wv.kW,Rocky.wv.kWh,Whitman.kW,Whitman.kWh,Wilcox.kW,Wilcox.kWh,Wilson.wv.kW,Wilson.wv.kWh,Witherspoon.kW,Witherspoon.kWh
2018-11-01T04:00:00Z,9,328595,8.4,441585,11.883,8814.813,5.3,279008,10.9,577611,26.857,23109.164,65.5,64286,92.833,8574483,167.333,8967364,2.6,159790,10.5138613861,371142.60396,6.4,344236,21,1415008,100,5426937,3.9,216260,14.5,550140,47,3274599,28.7,1013119,18.1861386139,641976.39604,45.8,4698968,126.343138614,7329201.56004,81.1138613861,6493115.60396,146.4,24416668,94.6,2717521,141.383,4585035.813,21,2687584
2018-11-01T05:00:00Z,9,328595,8.5,441585,10.982,8814.813,15.8,279008,6.6,577612,26.705,23113.633,61,64288,87.1,8574490,157.1,8967373,2.6,159790,11.1732673267,371143.70297,6.4,344236,21,1415008,100,5426948,3.6,216260,14.7,550144,47,3274601,30.5,1013122,19.3267326733,641978.29703,44.9,4698970,126.631732673,7329213.93003,81.7732673267,6493120.70297,146.4,24416674,92.2,2717526,144.082,4585041.813,21,2687586
2018-11-01T06:00:00Z,9,328604,8.3,441593,11.033,8828.101,5.3,279018,6.5,577618,25.153,23140.221,60.6,64348,69.65,8574566,139.25,8967518,4.6,159793,13.700990099,371155.425743,6.5,344244,12.1,1415023,110.2,5427052,4,216264,14.1,550158,47.6,3274646,37.4,1013154,23.699009901,641998.574257,44,4699015,119.052009901,7329334.79526,87.000990099,6493198.42574,138.4,24416826,85.4,2717615,127.033,4585180.101,21.1,2687604
2018-11-01T07:00:00Z,9,328614,9,441603,10.463,8838.904,15.4,279030,6,577625,25.28,23165.188,58.4,64408,58.017,8574624,125.417,8967646,2.8,159796,12.7485148515,371169.346535,6.2,344250,15.9,1415035,92.7,5427146,3.6,216268,14.1,550172,49.3,3274696,34.8,1013192,22.0514851485,642022.653465,47.3,4699060,124.631485149,7329454.84147,85.9485148515,6493285.34653,133.1,24416966,94,2717705,144.663,4585319.904,21.1,2687624
2018-11-01T08:00:00Z,9,328622,9,441613,10.663,8849.16,15.2,279042,6.7,577631,24.86,23191.736,56.8,64468,57.533,8574681,123.333,8967771,2.9,159799,14.0673267327,371183.267327,6,344256,11.5,1415047,97.7,5427244,3.8,216272,14,550186,43.5,3274746,38.4,1013230,24.3326732673,642046.732673,48.8,4699111,123.492673267,7329582.46867,81.8673267327,6493377.26733,146.1,24417108,88.2,2717794,139.563,4585457.16,21.4,2687649
2018-11-01T09:00:00Z,8,328630,9.5,441621,10.16,8859.503,15,279054,6,577637,24.55,23213.473,56.1,64523,58.117,8574739,122.217,8967892,2.9,159802,12.3089108911,371195.722772,6.4,344263,11.9,1415058,91.1,5427341,3.6,216275,14.3,550200,51.7,3274791,33.6,1013264,21.2910891089,642068.277228,47,4699158,119.041089109,7329697.75023,87.6089108911,6493457.72277,139.2,24417244,85.4,2717884,136.06,4585593.503,20.7,2687669
2018-11-01T10:00:00Z,9,328639,9.3,441631,10.422,8869.757,14.7,279067,6.6,577643,24.935,23239.217,55.3,64578,65.633,8574799,129.933,8968016,2.8,159804,12.3089108911,371208.544554,6.3,344269,11.4,1415072,102.3,5427442,3.6,216279,14.6,550214,49.3,3274841,33.6,1013299,21.2910891089,642090.455446,46.2,4699205,118.426089109,7329820.67245,83.3089108911,6493542.54455,141.6,24417388,131.1,2718006,182.022,4585764.757,18.9,2687689
2018-11-01T11:00:00Z,9,328649,9,441640,10.335,8879.996,15,279078,5.7,577649,24.95,23265.598,55.4,64638,86.133,8574880,150.533,8968167,2.7,159807,12.5287128713,371221.366337,6.2,344275,11.5,1415082,110.6,5427552,3.4,216283,15.2,550229,48.5,3274891,34.2,1013334,21.6712871287,642112.633663,47.2,4699250,120.521287129,7329939.23166,85.0287128713,6493628.36634,150.3,24417538,141.1,2718152,190.735,4585956.996,21.3,2687709
2018-11-01T12:00:00Z,7,328657,10.3,441649,10.025,8890.173,5.1,279089,5.6,577655,24.612,23287.285,52.9,64693,76.9,8574960,136.8,8968310,2.5,159810,12.5287128713,371234.188119,4.2,344281,10.8,1415093,122.1,5427674,4.1,216287,14.3,550244,47.8,3274936,34.2,1013369,21.6712871287,642134.811881,46,4699295,117.383287129,7330054.09688,82.4287128713,6493709.18812,182.7,24417706,147.5,2718300,186.825,4586151.173,19.6,2687729
2018-11-01T13:00:00Z,8,328664,8.6,441658,9.087,8901.115,15.1,279099,6.7,577662,26.415,23315.049,60.7,64748,74.867,8575036,143.567,8968448,2.6,159813,12.3821782178,371245.178218,4,344285,11.3,1415104,141.1,5427796,4.3,216291,15.6,550259,51.2,3274991,33.8,1013399,21.4178217822,642153.821782,47.1,4699345,121.832821782,7330176.87078,87.7821782178,6493803.17822,191.1,24417886,147.2,2718457,194.987,4586353.115,21.6,2687754
2018-11-01T14:00:00Z,8,328672,8.3,441668,8.848,8911.347,12.4,279112,6.6,577668,23.48,23338.127,57.6,64808,76.8,8575111,142.4,8968591,2.6,159818,12.0524752475,371258.732673,4.2,344290,10.2,1415117,129.6,5427921,3.9,216295,15.1,550274,53.5,3275042,32.9,1013436,20.8475247525,642177.267327,47.6,4699395,117.227524752,7330301.39433,90.2524752475,6493897.73267,170.1,24418068,145.9,2718608,190.148,4586552.347,22.1,2687779
2018-11-01T15:00:00Z,8,328681,7.4,441675,8.757,8921.579,4.8,279117,10.6,577674,25.38,23363.803,54.6,64864,75.833,8575190,138.433,8968735,2.3,159821,8.02277227723,371268.990099,6,344294,19.6,1415132,119.6,5428039,3.9,216299,20.9,550294,47,3275091,21.9,1013464,13.8772277228,642195.009901,45.7,4699440,125.457227723,7330424.8129,76.6227722772,6493979.9901,194.2,24418236,154.5,2718760,195.957,4586740.579,19.3,2687799
2018-11-01T16:00:00Z,12,328693,7.7,441683,10.64,8931.777,5.2,279122,7.5,577684,24.73,23390.096,85.7,64919,87.55,8575274,185.25,8968886,2.6,159823,8.53564356436,371280.346535,4.9,344299,12,1415144,130.9,5428165,3.7,216303,15.3,550309,47.5,3275136,23.3,1013495,14.7643564356,642214.653465,47.1,4699485,113.894356436,7330542.74947,79.4356435644,6494059.34653,184.2,24418416,174.2,2718911,213.84,4586933.777,20.8,2687820
2018-11-01T17:00:00Z,9,328701,9.4,441691,11.113,8941.94,4.9,279127,15.3,577698,26.055,23412.807,55.7,64979,77.733,8575353,142.433,8969033,2.5,159826,11.6128712871,371289.138614,4.3,344304,15.7,1415167,135.4,5428286,4.3,216307,16.2,550326,47.6,3275186,31.7,1013519,20.0871287129,642229.861386,44.3,4699530,122.342128713,7330665.66839,108.012871287,6494144.13861,183.5,24418598,148.1,2719066,197.413,4587134.94,46.3,2687843
2018-11-01T18:00:00Z,12,328710,8.4,441700,11.202,8952.251,5,279133,12.3,577712,27.362,23442.377,59.3,65039,89.75,8575439,161.05,8969188,2.6,159828,8.82871287129,371300.128713,4.2,344309,12.3,1415183,125.2,5428423,4,216311,16.2,550342,48.6,3275236,24.1,1013549,15.2712871287,642248.871287,46.2,4699575,117.333287129,7330791.24829,92.7287128713,6494238.12871,187.5,24418800,145.5,2719215,190.602,4587332.251,32.7,2687874
2018-11-01T19:00:00Z,8,328719,8.2,441709,9.32,8961.634,5.1,279138,16.8,577727,36.32,23468.75,69.4,65099,73.817,8575514,151.217,8969332,2.6,159832,11.9059405941,371309.287129,3.9,344314,19.7,1415197,124.4,5428551,4.2,216315,15,550358,61.2,3275286,32.5,1013574,20.5940594059,642264.712871,52.2,4699625,143.814059406,7330913.46287,95.2059405941,6494331.28713,156.3,24418968,135.2,2719357,182.72,4587521.634,19.5,2687904
2018-11-01T20:00:00Z,8,328727,13,441720,9.475,8971.658,4.9,279143,7.8,577737,23.88,23500.959,52.7,65161,76.767,8575592,137.467,8969480,2.4,159834,12.3455445545,371322.108911,4.4,344319,15.5,1415214,123,5428676,3.7,216319,15.8,550374,52.5,3275341,33.7,1013609,21.3544554455,642286.891089,45.5,4699675,122.034455446,7331050.85009,95.0455445545,6494426.10891,153.7,24419130,132.5,2719479,175.775,4587688.658,27.8,2687929
2018-11-01T21:00:00Z,10,328736,16.7,441733,11.173,8982.685,5.3,279148,20.5,577751,26.415,23526.938,57.5,65216,83.583,8575674,151.083,8969626,2.7,159837,11.2465346535,371333.09901,4.2,344324,14.1,1415227,121.4,5428794,3.8,216324,16,550389,45.2,3275391,30.7,1013639,19.4534653465,642305.90099,46,4699720,121.968465347,7331168.83899,77.9465346535,6494510.09901,185.7,24419300,144.5,2719614,206.173,4587876.685,18.8,2687949
2018-11-01T22:00:00Z,18,328754,18.2,441743,10.702,8992.871,5.1,279153,16.5,577766,24.38,23552.635,67.1,65282,102.633,8575777,187.733,8969813,11.7,159842,8.90198019802,371342.257426,4.7,344328,21.8,1415242,124.4,5428923,4.2,216327,23.3,550404,51.2,3275441,24.3,1013664,15.398019802,642321.742574,49.5,4699770,134.378019802,7331290.37757,91.901980198,6494596.25743,171.9,24419482,129.2,2719741,188.602,4588050.871,20.1,2687971
2018-11-01T23:00:00Z,9,328764,8.8,441756,9.255,9003.052,5.4,279159,26.1,577786,28.867,23574.447,59.3,65343,85.1,8575864,153.4,8969971,21.5,159848,12.3089108911,371352.148515,7,344334,15.9,1415257,117.8,5429043,3.9,216331,14.9,550425,48.9,3275491,33.6,1013691,21.2910891089,642338.851485,49.2,4699820,130.158089109,7331415.29849,102.608910891,6494685.14851,155,24419642,140.6,2719879,201.055,4588248.052,19.9,2687994
2018-11-02T00:00:00Z,9,328772,9.5,441765,10.213,9013.188,5.4,279164,8,577804,29.84,23603.062,64.7,65404,71.117,8575937,144.817,8970113,8.1,159860,10.1108910891,371363.871287,8.7,344342,11.9,1415269,116.4,5429159,4,216335,14.9,550441,54.5,3275542,27.6,1013723,17.4891089109,642359.128713,46.3,4699865,120.429108911,7331537.19071,93.9108910891,6494780.87129,173.3,24419816,121.7,2719998,167.513,4588421.188,21.2,2688015
2018-11-02T01:00:00Z,10,328782,11,441775,10.373,9023.857,5.3,279170,6.9,577814,30.15,23632.359,59.4,65469,73.15,8576009,142.55,8970260,2.8,159863,11.0267326733,371373.39604,8.5,344349,11.8,1415282,111,5429282,3.8,216339,18.1,550456,55.3,3275597,30.1,1013749,19.0732673267,642375.60396,54.8,4699918,133.923267327,7331663.96296,95.5267326733,6494872.39604,182.1,24420002,96.9,2720089,142.773,4588559.857,26.4,2688039
2018-11-02T02:00:00Z,11,328791,10.7,441788,12.545,9034.9,5.4,279175,13.2,577823,34.188,23664.41,60.3,65529,75.683,8576082,146.983,8970402,3,159866,10.0376237624,371384.386139,7.4,344357,13,1415296,112.9,5429391,4,216344,24.3,550474,57,3275650,27.4,1013779,17.3623762376,642394.613861,68.6,4699981,157.450376238,7331810.02386,111.537623762,6494974.38614,164.4,24420174,97.1,2720184,150.345,4588705.9,41.5,2688074
2018-11-02T03:00:00Z,9,328801,9.7,441798,11.317,9045.694,5.6,279181,25.4,577841,26.843,23692.688,64.7,65592,73.317,8576158,147.017,8970551,2.5,159869,9.85445544554,371396.108911,7,344365,17.8,1415313,115.7,5429504,4.3,216348,14.4,550495,59.6,3275709,26.9,1013811,17.0455445545,642414.891089,56.9,4700037,132.988544554,7331952.57909,94.0544554455,6495081.10891,182.2,24420344,120.6,2720279,183.917,4588857.694,22.1,2688107
2018-11-02T04:00:00Z,10,328810,10.9,441809,11.505,1.752,5.2,279186,8.4,577859,27.005,4.036,63.4,65652,72.3,8576223,145.7,8970685,2.9,159872,9.74455445545,371406.366337,6.9,344372,16.2,1415326,107.7,5429619,4.2,216352,15.2,550510,52.1,3275765,26.6,1013839,16.8554455446,642432.633663,58.2,4700092,133.460445545,7308383.83798,86.3445544554,6495172.36634,153.7,24420514,82.1,2720378,129.205,4579980.752,21.6,2688129
